PARENTACCOUNT,ORDINAL,TYPE,SUBTYPE,MAILOVERRIDE,SSNOVERRIDE,SSNCERTIFICATION,SSNTYPE,EFFECTIVEDATE,EXPIRATIONDATE,BIRTHDATE,TITLE,FIRST,MIDDLE,LAST,SUFFIX,EXTRAADDRESS,STREET,CITY,STATE,ZIPCODE,HOMEPHONE,SSN,WORKPHONE,LASTFMDATE,CARRIERROUTE,ADDRESSTYPE,BENEFICIARYPERCENT,IRSCORRECTION,WORKPHONEEXTENSION,CTREXEMPT,DEATHDATE,ECOACODE,COUNTRY,COUNTRYCODE,EMAIL,MOTHERSMAIDENNAME,EMPLOYERNAME,ALTEMAIL,LOCATOR,MOBILEPHONE,PAGERNUMBER,USPERSONFLAG,IDENTDOCFLAG1,IDENTDOCFLAG2,IDENTDOCFLAG3,IDENTIDTYPE1,IDENTIDTYPE2,IDENTIDTYPE3,IDENTIDDESCRIPTION1,IDENTIDDESCRIPTION2,IDENTIDDESCRIPTION3,IDENTIDNUMBER1,IDENTIDNUMBER2,IDENTIDNUMBER3,IDENTIDISSUEDATE1,IDENTIDISSUEDATE2,IDENTIDISSUEDATE3,IDENTIDEXPIREDATE1,IDENTIDEXPIREDATE2,IDENTIDEXPIREDATE3,IDENTIDVERIFYDATE1,IDENTIDVERIFYDATE2,IDENTIDVERIFYDATE3,OCCUPATION,USERCHAR1,USERCHAR2,USERCHAR3,USERCHAR4,USERAMOUNT1,USERAMOUNT2,USERDATE1,USERDATE2,LASTADDRVERIFDATE,CREDITREPORTCONSUMERINFO,NAMEFORMAT,EXTENDEDNAME,CREDITREPORTCONSUMERINFODATE,EXTRAINFO,RECORDCHANGEDATE,MEMBERNUMBER,MBRSTATUS,MBRSTATUSFMDATE,MBRCREATEDATE,MBRFMLASTDATE,MBREXPDATE,MBRACTIVITYDATE,PHONETYPE,MBRADDRNUMBER,ADDRCREATEDATE,ADDRFMLASTDATE,ADDREXPDATE,NONACCTNAMENUM,MEMBERNUMLINK,MBRADDRNUMLINK,CURRGROSSMONTHPAY,CURRNETMONTHPAY,MBRFMLASTPURGEDATE,ADDRFMLASTPURGEDATE,FMLASTPURGEDATE,MEMBERNUMLINKCHGDATE,MBRADDRNUMLINKCHGDATE,MBRRECORDCHANGEDATE,MBRDISCONNECTDATE,ADDRRECORDCHANGEDATE,ADDRDISCONNECTDATE,MBRFILETYPE,MBRADDRFILETYPE,RESTRICTACCESS,CONFIDENTIAL,MARKETINGADDRESS,CREDITREPORTADDRINDICATOR,CREDITREPORTADDRINDICATORDATE,DBANAMEFORMAT,DBATITLE,DBAFIRST,DBAMIDDLE,DBALAST,DBASUFFIX,DBAEXTENDEDNAME,SEX,IRSCOUNTRYCODE,NRATAXRATE,NRAEXEMPTIONCODE,FORMW8ONFILE,W8EXPIRATIONDATE,FOREIGNTIN,GIIN,SUBSTANTIALOWNER,CHAPTER4STATUSCODE,PREFERREDCONTACTMETHOD,ACTIVEDUTY,ACTIVEDUTYVERIFICATIONDATE,ACTIVEDUTYSTARTDATE,ACTIVEDUTYSEPARATIONDATE,LOB,LEI,BENEFICIALOWNER,BENEFICIALPERCENT,IRS1042SAMENDNUM,LASTADDRCHGDATE,CRNAMECHGDATE,CRADDRCHGDATE,CRSSNCHGDATE,CURRMTHPAYCHGDATE,REPORTDATE
CU01100003,0,0,,,,,,2016-02-20 00:00:00,,1950-02-10 00:00:00,,Flynn,,Winne,,,4803 Mayland Avenue,Ida,LA,71044,139-715-1373,586344074,739-949-6368,,,,,,,,,,,US,FWINNE@outlook.com,,Laserfiche,FWINNE@outlook.com,0,603-892-3600,,,,,,,,,,,,,,,,,,,,,,,,Film Director,,,,,,,,,,,0,,,,,,,,2016-02-20 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,2,,,,,,,,,,,,,,,2019-01-31
CU01100012,0,0,,,,,,2018-05-25 00:00:00,,1958-02-10 00:00:00,,Eveny,,Delduca,,,7416 JASON GLEN,San Antonio,TX,78243,949-851-6976,237608030,274-611-6155,,,,,,,,,,,US,EDELDUCA@gmail.com,,Wcct Global LLC,EDELDUCA@gmail.com,0,132-620-3189,,,,,,,,,,,,,,,,,,,,,,,,Scientist,,,,,,,,,,,0,,,,,,,,2018-05-25 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,2,,,,,,,,,,,,,,,2019-01-31
CU01100029,0,0,,,,,,2015-10-20 00:00:00,,1968-01-19 00:00:00,,Makenli,,Taglauer,,,1934 WELLESLEY AV,Unionville,IN,47468,204-783-4857,279949063,460-525-5624,,,,,,,,,,,US,MTAGLAUER@aol.com,,Cohn And Associates Architects, Inc.,MTAGLAUER@aol.com,0,843-388-8012,,,,,,,,,,,,,,,,,,,,,,,,Editor,,,,,,,,,,,0,,,,,,,,2015-10-20 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,3,,,,,,,,,,,,,,,2019-01-31
CU01100035,0,0,,,,,,2011-06-04 00:00:00,,1947-09-21 00:00:00,,Benett,,Lavalle,,,9439 SUMMER BREEZE CIR,Satsuma,FL,32189,211-895-8304,980262163,745-886-7629,,,,,,,,,,,US,BLAVALLE@aol.com,,Southwest Airlines,BLAVALLE@aol.com,0,872-817-5709,,,,,,,,,,,,,,,,,,,,,,,,Police Officer,,,,,,,,,,,0,,,,,,,,2011-06-04 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,3,,,,,,,,,,,,,,,2019-01-31
CU01100046,0,0,,,,,,2018-12-21 00:00:00,,1956-01-11 00:00:00,,Jaleigha,,Mazzoni,,,4235 AGUA MANSA RD,Wichita,KS,67228,207-629-2153,333636417,778-561-8325,,,,,,,,,,,US,JMAZZONI@aol.com,,Helpinstill,JMAZZONI@outlook.com,0,271-801-5820,,,,,,,,,,,,,,,,,,,,,,,,Telephone Operator,,,,,,,,,,,0,,,,,,,,2018-12-21 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,1,,,,,,,,,,,,,,,2019-01-31
CU01100055,0,0,,,,,,2017-12-07 00:00:00,,1984-02-28 00:00:00,,Ace,,Mauras,,,8982 Alta Pine Drive,Fairburn,SD,57738,348-519-5624,350681820,577-923-6502,,,,,,,,,,,US,AMAURAS@gmail.com,,Name,AMAURAS@gmail.com,0,778-179-1875,,,,,,,,,,,,,,,,,,,,,,,,Surgeon,,,,,,,,,,,0,,,,,,,,2017-12-07 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,3,,,,,,,,,,,,,,,2019-01-31
CU01100060,0,0,,,,,,2016-08-26 00:00:00,,1946-07-13 00:00:00,,Michalina,,Ratcliff,,,9314 OCCIDENTAL LN,Swanzey,NH,3446,834-679-1580,176695599,251-541-3107,,,,,,,,,,,US,MRATCLIFF@gmail.com,,Taco Cabana,MRATCLIFF@outlook.com,0,814-993-3641,,,,,,,,,,,,,,,,,,,,,,,,Physical Therapist,,,,,,,,,,,0,,,,,,,,2016-08-26 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,2,,,,,,,,,,,,,,,2019-01-31
CU01100064,0,0,,,,,,2013-08-30 00:00:00,,1999-12-09 00:00:00,,Tomasi,,Maccormack,,,3234 CLOVIS WAY,Wadena,MN,56482,334-113-9061,844932982,585-489-2522,,,,,,,,,,,US,TMACCORMACK@gmail.com,,BioMarin Pharmaceutical,TMACCORMACK@gmail.com,0,446-569-6591,,,,,,,,,,,,,,,,,,,,,,,,Industrial Engineer,,,,,,,,,,,0,,,,,,,,2013-08-30 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,3,,,,,,,,,,,,,,,2019-01-31
CU01100069,0,0,,,,,,2015-12-05 00:00:00,,1949-07-08 00:00:00,,Brazos,,Lydia,,,6203 BRANDYWINE PL,Monterey Park,CA,91755,501-700-8869,510905315,467-202-4899,,,,,,,,,,,US,BLYDIA@gmail.com,,Oakwood Marina Del Rey,BLYDIA@outlook.com,0,991-607-6912,,,,,,,,,,,,,,,,,,,,,,,,Designer,,,,,,,,,,,0,,,,,,,,2015-12-05 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,2,,,,,,,,,,,,,,,2019-01-31
CU01100073,0,0,,,,,,2015-05-20 00:00:00,,1989-04-24 00:00:00,,Mayela,,Dumond,,,7862 PRINCESS PAT RD,Wilmot,SD,57279,816-640-1625,831591381,152-132-3350,,,,,,,,,,,US,MDUMOND@aol.com,,XCOR Aerospace,MDUMOND@yahoo.com,0,971-416-6626,,,,,,,,,,,,,,,,,,,,,,,,Air Steward,,,,,,,,,,,0,,,,,,,,2015-05-20 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,2,,,,,,,,,,,,,,,2019-01-31
CU01100113,0,0,,,,,,2015-03-15 00:00:00,,1996-02-23 00:00:00,,Kalypso,,Spraglin,,,1837 ANDREAS RD,Alexandria,MO,63430,812-692-1888,792622128,920-927-8705,,,,,,,,,,,US,KSPRAGLIN@outlook.com,,Cabot Oil & Gas,KSPRAGLIN@yahoo.com,0,160-986-8094,,,,,,,,,,,,,,,,,,,,,,,,Scientist,,,,,,,,,,,0,,,,,,,,2015-03-15 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,2,,,,,,,,,,,,,,,2019-01-31
CU01100118,0,0,,,,,,2011-12-07 00:00:00,,1968-02-01 00:00:00,,Tyrel,,Nehring,,,3992 Eastfield Drive,Carson,IA,51525,372-325-3465,326778794,701-483-1483,,,,,,,,,,,US,TNEHRING@outlook.com,,Rambus,TNEHRING@outlook.com,0,737-734-2130,,,,,,,,,,,,,,,,,,,,,,,,Magician,,,,,,,,,,,0,,,,,,,,2011-12-07 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,1,,,,,,,,,,,,,,,2019-01-31
CU01100150,0,0,,,,,,2017-02-04 00:00:00,,1959-09-16 00:00:00,,Azula,,Broeker,,,1847 GRAND OAKS AVE,Pen Argyl,PA,18072,218-132-4950,825946975,723-532-9783,,,,,,,,,,,US,ABROEKER@outlook.com,,TaylorMade,ABROEKER@outlook.com,0,205-161-4176,,,,,,,,,,,,,,,,,,,,,,,,Career Counselor,,,,,,,,,,,0,,,,,,,,2017-02-04 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,1,,,,,,,,,,,,,,,2019-01-31
CU01100153,0,0,,,,,,2016-03-10 00:00:00,,1959-11-04 00:00:00,,Aradhana,,Petersdorf,,,2509 Deerbank Drive,Scobey,MT,59263,176-728-9055,731183622,175-527-4067,,,,,,,,,,,US,APETERSDORF@outlook.com,,Maxygen,APETERSDORF@yahoo.com,0,770-966-7214,,,,,,,,,,,,,,,,,,,,,,,,Judge,,,,,,,,,,,0,,,,,,,,2016-03-10 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,3,,,,,,,,,,,,,,,2019-01-31
CU01100154,0,0,,,,,,2011-12-13 00:00:00,,1989-05-07 00:00:00,,Vishwa,,Shariff,,,9678 S CAMPUS UNIT C18 AVE,Alum Bank,PA,15521,672-481-7923,498129191,215-209-7467,,,,,,,,,,,US,VSHARIFF@aol.com,,Collectors Blue Book,VSHARIFF@outlook.com,0,158-299-8535,,,,,,,,,,,,,,,,,,,,,,,,Scientist,,,,,,,,,,,0,,,,,,,,2011-12-13 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,2,,,,,,,,,,,,,,,2019-01-31
CU01100156,0,0,,,,,,2014-03-04 00:00:00,,1997-04-21 00:00:00,,Nicky,,Cropley,,,3549 CALLE OAXACA,Elkhart,TX,75839,893-551-4849,496288467,159-536-3846,,,,,,,,,,,US,NCROPLEY@gmail.com,,Big 5 Sporting Goods,NCROPLEY@aol.com,0,947-951-3017,,,,,,,,,,,,,,,,,,,,,,,,Truck Driver,,,,,,,,,,,0,,,,,,,,2014-03-04 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,3,,,,,,,,,,,,,,,2019-01-31
CU01100158,0,0,,,,,,2015-05-11 00:00:00,,1984-09-13 00:00:00,,Suzanne,,Tessier,,,3560 LUCERNE ST,Emington,IL,60934,379-614-8343,615625431,202-962-5253,,,,,,,,,,,US,STESSIER@yahoo.com,,Farmers Insurance Group,STESSIER@aol.com,0,842-608-9366,,,,,,,,,,,,,,,,,,,,,,,,Software Developer,,,,,,,,,,,0,,,,,,,,2015-05-11 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,2,,,,,,,,,,,,,,,2019-01-31
CU01100178,0,0,,,,,,2013-01-18 00:00:00,,1953-08-18 00:00:00,,Rorey,,Buster,,,1563 E ARRIETA CIR,Etna,WY,83118,551-193-9606,534456905,618-996-9656,,,,,,,,,,,US,RBUSTER@outlook.com,,Oakwood Marina Del Rey,RBUSTER@aol.com,0,769-872-8879,,,,,,,,,,,,,,,,,,,,,,,,Financial Manager,,,,,,,,,,,0,,,,,,,,2013-01-18 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,1,,,,,,,,,,,,,,,2019-01-31
CU01100185,0,0,,,,,,2014-10-25 00:00:00,,1963-01-30 00:00:00,,Jenai,,Twelves,,,9259 S CAMPUS NO 75 AVE,Osceola,PA,16942,568-685-1695,193827058,410-834-1680,,,,,,,,,,,US,JTWELVES@gmail.com,,Riverdeep,JTWELVES@aol.com,0,247-390-6097,,,,,,,,,,,,,,,,,,,,,,,,Teacher,,,,,,,,,,,0,,,,,,,,2014-10-25 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,2,,,,,,,,,,,,,,,2019-01-31
CU01100186,0,0,,,,,,2014-08-11 00:00:00,,1951-04-09 00:00:00,,Rama,,Roal,,,8954 Oak Knoll Road,Hamilton,IA,50116,938-346-8681,725896863,854-590-3193,,,,,,,,,,,US,RROAL@outlook.com,,Bikram Yoga,RROAL@gmail.com,0,967-248-1377,,,,,,,,,,,,,,,,,,,,,,,,Tailor,,,,,,,,,,,0,,,,,,,,2014-08-11 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,1,,,,,,,,,,,,,,,2019-01-31
CU01100188,0,0,,,,,,2017-07-22 00:00:00,,1995-09-03 00:00:00,,Ivi,,Witz,,,3816 BONITA VISTA DR,Hampton,FL,32044,389-213-3699,407992012,501-853-4800,,,,,,,,,,,US,IWITZ@outlook.com,,AITech International Corporation,IWITZ@gmail.com,0,890-363-9918,,,,,,,,,,,,,,,,,,,,,,,,Electrical Engineer,,,,,,,,,,,0,,,,,,,,2017-07-22 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,1,,,,,,,,,,,,,,,2019-01-31
CU01100189,0,0,,,,,,2014-04-27 00:00:00,,1961-04-18 00:00:00,,Shahida,,Konat,,,9702 Somerset Ranch Road South,Mayslick,KY,41055,213-514-8036,997734698,473-172-5196,,,,,,,,,,,US,SKONAT@outlook.com,,Chicken Express,SKONAT@yahoo.com,0,961-186-9727,,,,,,,,,,,,,,,,,,,,,,,,Painter,,,,,,,,,,,0,,,,,,,,2014-04-27 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,1,,,,,,,,,,,,,,,2019-01-31
CU01100192,0,0,,,,,,2016-04-25 00:00:00,,1987-11-25 00:00:00,,Kaya,,Brouwer,,,8348 Portola Circle,Fairland,IN,46126,959-653-3553,312721656,329-420-3895,,,,,,,,,,,US,KBROUWER@gmail.com,,Spherion,KBROUWER@yahoo.com,0,491-605-3020,,,,,,,,,,,,,,,,,,,,,,,,Translator,,,,,,,,,,,0,,,,,,,,2016-04-25 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,3,,,,,,,,,,,,,,,2019-01-31
CU01100197,0,0,,,,,,2015-07-09 00:00:00,,1989-07-03 00:00:00,,Caledonia,,Corsa,,,2628 Colebrook Street,Covington,LA,70433,535-940-8968,685433752,113-515-6148,,,,,,,,,,,US,CCORSA@aol.com,,Guaranty Bank & Trust,CCORSA@gmail.com,0,775-720-4134,,,,,,,,,,,,,,,,,,,,,,,,Sales Agent,,,,,,,,,,,0,,,,,,,,2015-07-09 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,1,,,,,,,,,,,,,,,2019-01-31
CU01100200,0,1,,,,,,2015-05-27 00:00:00,,1966-03-12 00:00:00,,Braxtyn,,Edde,,,5208 East   21st Street,Bothell,WA,98021,767-782-5738,940366540,668-881-9780,,,,,,,,,,,US,BEDDE@yahoo.com,,Brantly International,BEDDE@yahoo.com,0,386-935-7439,,,,,,,,,,,,,,,,,,,,,,,,Decorator,,,,,,,,,,,0,,,,,,,,2015-05-27 00:00:00,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,1,,,,,,,,,,,,,,,2019-01-31
